Edible,Color,Shape,Surface
E,Yellow,Conical-Bellshaped,Smooth
P,Pale,Conical,Smooth
E,Gray-Brown,Conical,Smooth
I,White-Yellow,Conical,Smooth
P,Pink,Convex,Smooth
I,Tan-Gray,Convex-Knobbed,Smooth
I,Pale-Gray,Conical-Bellshaped,Smooth
P,Pale,Bellshaped-Conical,Smooth
I,Brown,Convex-Funnelshaped,Smooth
P,Orange-Brown,Convex-Conical,Smooth
P,Gray-Pale,Convex,Smooth
E,Pink,Convex-Depressed,Smooth
I,Gray-Brown,Conical-Flat,Smooth
P,Yellow,Convex,Smooth
P,Pale-Purple,Convex,Smooth
I,Gray-Brown,Bellshaped,Smooth
P,Lilac-Pink,Conical-Convex,Smooth
P,Purple-Pink,Conical-Bellshaped,Smooth
P,Pink-Brown,Conical,Smooth
P,Pink,Bellshaped,Smooth
P,Orange,Bellshaped-Knobbed,Smooth
P,Brown,Convex-Conical,Smooth
I,Gray,Conical-Bellshaped,Smooth
E,Gray,Convex,Smooth
E,White,Puffballs,Patches
E,Brown,Convex-Knobbed,Smooth
E,Pale-Tan,Convex-Depressed,Smooth
I,Gray-Brown,Earthstars,Smooth
P,Pink,Polypore-Shellshaped,Hairy
P,Brown,Convex-Flat,Smooth
P,Orange,Corticioid, 
I,Blue-Brown,Convex-Flat,Smooth-Silky
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Smooth-Silky
I,White-Pink,CupFungi-JellyFungi, 
E,Orange-Yellow,Polypore-Shellshaped,Hairy-Fibrous
P,Brown,Convex,FlatScales
P,Orange,Convex-Funnelshaped,Smooth
P,White,Funnelshaped,Smooth
P,Orange,Convex-Depressed,Smooth
I,Brown,Polypore,Velvety
P,Brown,CupFungi,Smooth
P,Brown,CupFungi,Smooth
E,Yellow,CupFungi,Smooth
E,White,Convex-Flat,Smooth
E,Dark-Brown,TrueMorels-Conical, 
P,Brown,CupFungi,Smooth
E,Brown-Pale,Convex-Bellshaped,Smooth
E,White-Gray,Convex,Smooth
E,Brown,Convex,Smooth
E,Gray,Convex,Smooth
I,Brown-Dark,Convex,Smooth
E,Dark-Brown,Convex-Conical,Smooth
E,Brown-Pale,Conical-Bellshaped,Smooth
I,White-Pale,Convex-Conical,Smooth
I,White,Shellshaped,Silky
E,Green,Shellshaped,Smooth
P,Pale-Brown,Convex,Velvety-Hairy
E,Purple,Convex-Depressed,Smooth
I,Pink-Tan,Convex,Hairy
P,Pale-Tan,Convex-Depressed,Smooth
E,Yellow,Funnelshaped-Depressed,Smooth
P,Yellow-Brown,Convex-Depressed,Smooth
I,Gray,Convex-Conical,Smooth
P,Brown,Conical-Convex,Smooth
I,Gray,Convex-Depressed,Smooth
P,Pale-Gray,Convex-Depressed, 
I,Gray,Convex-Bellshaped,Smooth-Powder
P,Brown,Convex-Depressed,Smooth
P,Brown,Convex-Funnelshaped,Smooth-FlatScales
P,Brown,CupFungi,Smooth
I,Brown,CupFungi,Smooth
E,Brown-Dark,CupFungi,Smooth
P,Gray-Pale,CupFungi,Smooth
I,Brown,CupFungi,Smooth
P,Brown,CupFungi,Smooth
P,Brown,CupFungi,Smooth
P,Violet-Lilac,CupFungi,Smooth
P,Brown,Convex-Flat,Powder
P,Dark-Brown,Polypore,Velvety
E,Brown-Dark,Stinkhorns, 
E,Dark,Stinkhorns, 
E,Dark-White,Stinkhorns, 
E,Dark,Stinkhorns, 
P,Brown-Yellow,Stinkhorns, 
E,Dark,Stinkhorns, 
I,Red,Stinkhorns, 
I,Brown,Shellshaped,Velvety
P,Dark,Polypore-Shellshaped,Smooth
P,Dark,Polypore-Shellshaped, 
I,Dark,Shellshaped, 
P,Brown-Gray,Shellshaped,Hairy
I,Gray-Brown,ToothFungi,Velvety-Hairy
I,Dark,ToothFungi-Funnelshaped,Velvety
P,Brown,ToothFungi,Velvety-Fibrous
P,Orange,Corticioid,Hairy
E,Yellow,Bellshaped,Smooth-Patches
P,Yellow,Convex-Flat,Smooth
P,Yellow,Convex,Patches
I,Yellow,Convex-Bellshaped,Hairy
P,Pale,Convex,Patches
E,Brown,Convex-Flat,Smooth
I,Orange-Yellow,Convex-Flat,Patches
P,Brown-Pale,Convex-Flat,Smooth-Fibrous
P,Yellow,Convex-Flat,FlatScales-Patches
E,Orange,Convex,Smooth
P,Pink-Purple,Convex,Hairy-Fibrous
E,Yellow-Brown,Convex,Hairy-Fibrous
P,Yellow,Convex-Bellshaped,Hairy-Fibrous
E,Yellow,Convex-Bellshaped,RaisedScales
P,Brown-Yellow,Conical-Bellshaped,Smooth
E,Brown,Convex-Flat,Smooth
E,Brown,Convex-Flat,Smooth
I,Orange,Shellshaped,Hairy
P,Dark-Brown,Truffles,Smooth
P,Dark,CupFungi,Smooth-RaisedScales
P,White,Funnelshaped,Smooth
E,Brown,Shellshaped,Smooth
E,Yellow,Funnelshaped,Smooth
E,Gray,Shellshaped,Smooth
E,White-Pale,Funnelshaped-Depressed,Smooth
E,Pink,Shellshaped,Smooth-Silky
E,White,Convex,Hairy-Patches
E,White-Brown,Convex,Smooth
E,White,Convex-Depressed,Smooth
E,Gray-Brown,Shellshaped,Smooth
E,White,Shellshaped,Smooth
E,White,Shellshaped,Smooth
P,White,Corticioid,Velvety-Hairy
E,Dark-Brown,Convex,Smooth
E,Brown,Convex-Flat,Smooth-Fibrous
E,Yellow,Convex-Knobbed,Smooth
E,Yellow,Convex,Silky
P,White-Gray,Convex-Bellshaped,Smooth
E,Pale,Convex-Flat,Smooth
E,Brown,Convex-Flat, 
E,Gray,Convex,Smooth
E,Dark-Brown,Convex-Flat,Hairy-Fibrous
P,Brown,Convex,Hairy-Velvety
E,White,Cylindrical,Patches-Fibrous
E,Blue-Purple,Funnelshaped,Velvety
P,Brown,Polypore,Hairy-Silky
I,Gray-Brown,Convex-Flat,Hairy-Fibrous
I,Brown,Funnelshaped-Polypore,Smooth
I,Brown,Polypore,Smooth
E,Brown,Polypore-Funnelshaped,Hairy
E,Gray,Polypore,Smooth
I,Gray,CupFungi,Smooth
I, ,Shellshaped-Polypore,Smooth
I,Dark-Brown,Convex-Bolete,Smooth-Silky
E,Pink,Conical,Smooth
P,Blue-Gray,Polypore,Hairy-Fibrous
P,White,Polypore-Shellshaped,Velvety-Hairy
I,White,Polypore-Shellshaped,Velvety
P,White,Polypore-Shellshaped,Hairy-Velvety
P,Brown-Pale,Bellshaped,Smooth
E,Pale,Convex-Flat,Smooth
I,Brown-Pale,Convex-Bellshaped,Smooth
P,Brown,Convex-Flat,Smooth
P,Brown,Conical,Fibrous
E,Brown,Convex-Bellshaped,Hairy-Fibrous
E,Brown,Convex-Bellshaped,Smooth
E,Yellow-Brown,Convex,Smooth
E,Brown-Dark,Convex-Depressed,Smooth
I,Red,Stinkhorns, 
E,White,JellyFungi-ToothFungi,RaisedScales
I,Orange-Brown,Polypore,Velvety
I,Dark,CupFungi,Smooth
E,Pale,Convex,Smooth
E,Yellow-Brown,Conical-Convex,Smooth
E,Brown-Yellow,Convex-Knobbed,Smooth
E,Brown,Conical,Smooth
E,Brown-Pale,Conical,Smooth
E,Brown,Convex,Smooth
E,Pale,Conical-Knobbed,Smooth
P,Orange,Polypore-Shellshaped,Velvety
I,Orange,Polypore,Velvety
I,Green-Yellow,CoralFungi,Smooth
E,Red,CoralFungi,Smooth
E,Pink-Red,CoralFungi,Smooth
P,Pink,CoralFungi,Smooth
E,Pale-Yellow,CoralFungi,Smooth
I,Tan,CoralFungi, 
E,Yellow,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
E,White-Pale,CoralFungi,Smooth
E,Pink-Red,CoralFungi,Smooth
I,Yellow,CoralFungi,Smooth
I,Gray,Convex-Shellshaped,Hairy-Fibrous
,White, , 
E,Tan,Convex-Bolete,Smooth-FlatScales
,Brown, , 
I,Brown,Truffles,Fibrous
E,Brown,Truffles,Smooth
E,Brown,Convex,Smooth
I,White,Convex,Smooth
P,Pink,Corticioid, 
I,Pink,Convex-JellyFungi,Smooth-Silky
P,Orange,Convex-Depressed,Smooth
P,White-Brown,Convex-Depressed,Smooth
I,Dark-Brown,Convex-Polypore,Smooth
P,Red,Bolete-Convex,Smooth-Silky
P,Red,Convex,Smooth
P,Red,Convex-Bolete,Smooth
P,Gray-Pink,Convex-Bolete,Smooth-Silky
E,Pink-Pale,Convex-Bolete,Smooth-Silky
P,Brown-Red,Bolete-Convex,Smooth-Silky
I,Gray-Red,Convex-Bolete,Smooth-Silky
P,Purple,Convex,Smooth-Fibrous
P,Pale-Red,Convex-Bolete,Smooth
E,Brown,Convex,Smooth
E,Brown-Gray,Convex-Depressed,Smooth
E,Gray-Green,Convex-Depressed,Smooth
E,Gray-Brown,Convex-Depressed,Smooth
E,Purple,Convex-Depressed,Smooth
E,Orange-Red,Convex-Depressed,Smooth
E,Pink-Yellow,Convex-Depressed,Smooth-Velvety
E,Violet,Convex-Depressed,Smooth
I,White-Pink,Convex-Depressed,Smooth
E,White,Convex-Depressed,Smooth
E,Yellow,Convex-Depressed,Smooth
E,Lilac-Violet,Convex-Depressed,Smooth
E,Orange,Convex-Depressed,Smooth
E,White,Convex-Funnelshaped,Smooth
E,Brown,Convex-Depressed,Smooth
P,Brown,Convex-Depressed,Smooth
P,Pink-Red,Convex-Depressed,Smooth
I,Yellow,Convex-Depressed,Smooth
I,Yellow,Convex-Depressed,Smooth
I,Yellow,Convex-Depressed,Smooth
I,Purple,Convex-Depressed,Smooth
P,Brown-Yellow,Convex-Depressed,Smooth
P,Gray-Pink,Convex-Depressed,Smooth
P,Brown,Flat-Depressed,Smooth
E,Green,Convex-Depressed,Smooth
I,Brown-Yellow,Convex-Flat,Smooth
E,Gray-Dark,Convex-Depressed,Smooth
P,Red,Convex-Depressed,Smooth
E,Yellow,Convex-Depressed,Smooth
E,Green-Violet,Convex-Depressed,Smooth
E,Purple,Convex-Depressed,Smooth
P,Purple,Convex-Depressed,Smooth
E,Red-Pink,Convex-Depressed,Smooth
I,Red,Convex-Depressed,Smooth
I,Purple,Convex-Depressed,Smooth
I,Red-Purple,Convex-Depressed,Smooth
E,Purple,Convex-Depressed,Smooth
E,Green-Pink,Convex-Flat,Smooth
E,Red-Brown,Convex-Depressed,Smooth
E,Green,Convex,Patches
E,Red,Convex-Depressed,Smooth
E,Brown,Convex-ToothFungi,Patches
P,Pale-Brown,Convex-ToothFungi,Smooth
P,Brown,Convex-ToothFungi,FlatScales-Hairy
E,Brown,Convex-ToothFungi,Fibrous-Patches
E,Red,CupFungi,Smooth
E,Red,CupFungi,Smooth
I,Red,CupFungi,Smooth
P,Brown,CupFungi, 
P,Pink-Brown,CupFungi,Smooth
I,Gray-White,Shellshaped,Hairy
P,Brown,Puffballs,FlatScales
P,Brown,Puffballs,FlatScales-Patches
P,White,Earthstars-Truffles,Smooth-Patches
I,Brown,Puffballs,FlatScales
I,Red,CupFungi,Smooth-Hairy
I,Orange,CupFungi,Hairy
I,Red,CupFungi,Hairy
I,Orange-Red,CupFungi,Smooth-Hairy
P,Gray,Corticioid, 
P,White,CoralFungi, 
P,White,CoralFungi,Smooth
P,Brown,Corticioid,Velvety
P,Brown,Convex-Flat,Velvety
I,White,Corticioid,Hairy
E,Tan,Cauliflower,Smooth
E,Yellow,Cauliflower, 
E,White-Tan,Cauliflower,Smooth
E,Yellow,CoralFungi,Smooth
P,Pale,CoralFungi,Smooth
P,Brown,Conical,Hairy
I,White,ToothFungi,Smooth
P,Pale-Brown,Convex-Flat,Hairy-Fibrous
P,Brown,Corticioid-ToothFungi, 
,Brown-White, , 
I,Brown,Polypore-Shellshaped,Hairy
I,Brown-Orange,Funnelshaped,Velvety-Smooth
P,Brown-Gray,Corticioid,Smooth-Hairy
I, ,Corticioid,Velvety
I,Brown,Shellshaped,Smooth
E,Dark-Brown,Convex-Bolete,Fibrous-Patches
E,Brown,Convex-Flat,Smooth
E,Dark-Brown,Convex-Flat,Smooth
P,Brown,Convex-Depressed,Smooth
P,Blue,Convex-Bellshaped,Smooth
I,Blue,Bellshaped-Convex,Hairy
P,Yellow,Convex-Flat,Smooth
I,Brown,Convex-Conical,Smooth
E,White,Convex-Bellshaped,Smooth-Fibrous
I,Blue-Gray,Convex-Conical,Smooth-Fibrous
E,Red-Brown,Convex-Flat,Smooth
E,Pale-Yellow,Convex,Smooth
E,Yellow-Brown,Convex-Bolete,Smooth-Silky
P,Red-Pale,Convex-Bolete,Smooth-Silky
E,Yellow-Red,Convex-Bolete,Smooth-Silky
E,Yellow,Convex-Bolete,Smooth
E,Gray-Pale,Convex-Bolete,Smooth
E,Brown,Convex,Smooth
E,Pale-Yellow,Convex-Bolete,Smooth
E,Brown,Convex-Flat,Smooth
E,Brown,Convex,Hairy-Fibrous
E,Brown,Convex-Flat,FlatScales
E,Brown-Pale,Convex-Bolete,Smooth
E,Yellow-Orange,Convex-Bolete,Smooth
E,Brown-Yellow,Convex,Smooth
E,Brown,Convex-Depressed,Fibrous-FlatScales
E,Brown,Convex-Bolete,Smooth
E,Brown-Yellow,Convex-Bolete,Smooth
E,White-Yellow,Convex,Smooth
E,Brown,Convex,Smooth
E,Brown-Orange,Convex,Smooth
E,Yellow,Convex-Flat,Smooth-Patches
E,Pink,Convex-Bolete,Fibrous-FlatScales
E,Brown,Convex-Flat,Fibrous-Patches
E,Yellow,Convex-Bolete,Hairy-Smooth
E,Orange,Convex,Hairy-Fibrous
E,Yellow-Brown,Convex,Fibrous-Patches
E,White-Gray,Convex-Flat,Smooth
E,Yellow,Convex-Bolete,Velvety-Silky
I,Yellow,JellyFungi,Smooth
I,Brown,Convex-Funnelshaped,Smooth-Silky
P,Yellow-Brown,Shellshaped,Velvety
I,Gray-Yellow,CupFungi,Smooth
P,Blue,Corticioid,Velvety
P,Gray-Brown,CoralFungi,Hairy
P,Gray,CoralFungi,Smooth
P,Brown,CoralFungi,Smooth-Hairy
I,Dark-Brown,Corticioid,Velvety-Hairy
I,Gray-White,Funnelshaped,Velvety-Hairy
P,Gray,Polypore-Shellshaped,Velvety
E,Gray,Polypore-Shellshaped,Smooth
I,White-Gray,Polypore-Shellshaped,Smooth-Hairy
I,Brown,Polypore-Shellshaped,Velvety
I,Pale,Polypore-Shellshaped,Smooth
I,White,Polypore,Velvety
P,Brown,Polypore,Hairy
E,Gray,Polypore,Velvety
E,Yellow,JellyFungi,Smooth
P,Pink,JellyFungi,Smooth
E,Brown-Pale,JellyFungi-Cauliflower,Smooth
E,White,JellyFungi,Smooth
E,Yellow,JellyFungi,Smooth
P,Purple,Polypore-Shellshaped,Velvety
I,Gray-Lilac,Polypore-Shellshaped,Velvety
,Orange, , 
P,Dark,CoralFungi,Velvety
P,Dark,CoralFungi,Smooth
P,Yellow,Convex,Smooth
P,White,Convex-Flat,Smooth
E,Gray-Brown,Convex-Knobbed,FlatScales-Fibrous
P,Brown-Yellow,Convex-Bellshaped,Smooth-Fibrous
E,Gray,Convex-Flat,FlatScales
E,Brown,Convex,FlatScales-Patches
E,Gray-Brown,Convex,Fibrous
P,Yellow,Convex-Flat,Smooth
E,Brown,Convex-Flat,Fibrous-Patches
I,Brown,Convex-Flat,Smooth
E,Brown,Convex,Smooth-FlatScales
P,White-Pale,Convex-Knobbed,Smooth
E,White,Convex-Flat,Smooth-Fibrous
E,Gray,Convex-Conical,Fibrous-FlatScales
P,Gray-Pale,Convex-Flat,FlatScales
E,Gray-Dark,Convex,Smooth
I,Pale-Gray,Convex-Flat,Smooth
P,Gray,Convex-Flat,Fibrous-FlatScales
P,Gray,Convex-Flat, 
I,Brown,Convex-Flat,Smooth
I,Brown,Convex-Flat,Smooth-Fibrous
P,White,Convex-Depressed,Smooth-Silky
I,Yellow,Convex-Flat,Smooth
P,Gray,Convex-Knobbed,Hairy-Fibrous
P,Brown,Convex-Flat,Smooth
P,Brown,Convex-Flat,Fibrous-Patches
I,Gray,Conical-Knobbed,Smooth
P,Yellow,Convex-Flat,RaisedScales
E,Purple-Red,Conical-Bellshaped,Hairy-Fibrous
P,Yellow,Convex-Flat,Smooth-Fibrous
P,Pink,Convex-Flat,Smooth-Fibrous
P,Brown,Bellshaped-Convex,Smooth
E,Dark,Truffles, 
E,Brown,Truffles, 
E,Dark,Truffles,RaisedScales
E,Brown,Truffles, 
E,Dark,Truffles, 
E,Brown,Truffles, 
E,Dark,Truffles, 
E,Pale,Truffles, 
E,Dark,Truffles, 
E,Brown,Truffles, 
E,Dark,Truffles, 
,Red-Pink, , 
P,White-Gray,Puffballs, 
P,Orange,Funnelshaped-Chanterelles,Smooth
P,Brown,Funnelshaped,RaisedScales-Patches
E,Orange,Convex-Bolete,Velvety
I,Tan-Brown,Convex-Bolete,Velvety-Silky
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown-Tan,Convex-Bolete,Smooth-Silky
E,Violet-Purple,Convex-Flat,Smooth-Silky
E,White,Convex-Bolete,Smooth
E,Purple-Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Smooth
P,Pale,CoralFungi,Smooth
I,White,Polypore,Velvety
I,Dark,CupFungi, 
E,Brown,TrueMorels, 
E,Brown,Convex-Bellshaped,Smooth
E,White,Convex-Bellshaped,Hairy
I,White,Convex-Bellshaped,Hairy-Fibrous
E,Gray,Convex-Bellshaped,Smooth
I,Pink-Purple,CupFungi,Smooth-Silky
E,Brown-Red,Convex-Bolete,Velvety-FlatScales
E,Brown,Convex-Bolete,Smooth-Silky
E,Red,Convex-Bolete,Smooth-FlatScales
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Silky-FlatScales
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown-Red,Convex-Bolete,Smooth-FlatScales
P, ,Convex-Bolete,Smooth-Silky
E,Brown-Yellow,Convex-Bolete,Velvety
P,Yellow-Orange,Convex-Depressed,Smooth
P,Brown,Flat-Depressed,Smooth
P,Yellow-Brown,Convex-Flat,Smooth
P,Yellow-Orange,Convex-Depressed,Smooth
E,Brown,Bellshaped-Flat,Velvety
I,Dark-White,CoralFungi,Smooth
I,White,CoralFungi,Smooth
I,Dark,CoralFungi, 
I,Dark,CoralFungi, 
