Edible,Color,Shape,Surface
P,Yellow-Green,CupFungi,Smooth-Fibrous
P,Purple-Violet,Corticioid,Velvety
P,Lilac-Yellow,Convex-Depressed,Smooth
E,Brown,Convex-Depressed,Smooth
E,Brown,Conical,Fibrous
E,Pale,Convex-Flat,Fibrous
P,Yellow-Brown,Convex-Depressed,Smooth
P,Brown,CupFungi, 
I,Red,Stinkhorns, 
P,Red,Stinkhorns, 
P,Red,Stinkhorns, 
P,Yellow,CoralFungi,Smooth
E,White,CoralFungi,Smooth
E,Tan-Pale,CoralFungi,Smooth
I,Violet-Purple,CoralFungi,Smooth
I,Pale,CoralFungi,Smooth
E,Yellow,CoralFungi,Smooth
E,Yellow-Orange,CoralFungi-Depressed,Smooth
E,Purple,CoralFungi,Smooth
E,Gray,CoralFungi,Smooth
E,White,CoralFungi,Smooth
E,White,CoralFungi,Smooth
I,Yellow,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
P,Yellow,CoralFungi,Smooth
P,Orange,CoralFungi,Smooth
P,Brown-Pale,CoralFungi,Smooth
P,Yellow,Polypore-Shellshaped,Velvety
I,White,Polypore-Shellshaped,Velvety
P,Gray,Flat-Depressed,Smooth
E,Brown,Convex-Depressed,Smooth
E,Pale,Funnelshaped,Smooth
P,Pale-Gray,Convex-Flat,Smooth
E,Violet,Convex-Flat,Smooth
E,Blue,Convex-Depressed,Smooth
P,White,Flat-Depressed,Smooth
P,Gray-Pale,Convex-Flat,Smooth
P,Brown,Funnelshaped,Smooth
I,Gray,Convex-Depressed,Smooth
E,Pale-Brown,Convex-Flat,Smooth
E,Pale-Gray,Convex-Depressed,Smooth
I,White,Convex-Flat,Smooth
P,White,Convex-Flat,Smooth
I,White,Convex-Depressed,Smooth
P,Brown,Funnelshaped-Flat,Smooth-Silky
I,Brown,Polypore-Funnelshaped,Velvety
P,Red,Stinkhorns, 
P,Red,Stinkhorns, 
P,Pale-White,Conical,Smooth
P,Brown,Convex-Bellshaped,Smooth
P,Brown-Pale,Convex-Depressed,Smooth
E,Gray,Convex-Bellshaped,Smooth
P,Brown,Cylindrical,Patches
P,Brown-Gray,Conical-Convex,Fibrous
P,Brown,Bellshaped,Smooth
E,Pale,Bellshaped,Smooth
E,Gray-Pale,Bellshaped,Smooth
E,Gray,Convex-Flat,Hairy-Fibrous
P,Gray,Cylindrical-Flat,Hairy
E,White,Cylindrical-Conical,Patches-Powder
I,Gray-Brown,Bellshaped-Cylindrical,Fibrous-Patches
E,White,Cylindrical,Patches-Fibrous
P,White,Cylindrical-Bellshaped,Hairy-Fibrous
E,Brown,Convex,Smooth
E,Orange,CoralFungi, 
P,Pale-Purple,Convex-Bellshaped,Smooth
I,Gray-Lilac,Convex, 
I,Dark-Purple,Convex-Flat,Smooth
E,Brown-Yellow,Convex-Knobbed,Smooth
I,Brown,Convex-Bellshaped,Smooth
P,Red,Convex-Bellshaped,FlatScales
E,Violet,Convex-Flat,Smooth
P,Lilac-Purple,Convex,Smooth-Fibrous
I,Brown,Convex-Flat,Smooth
E,Pale-Yellow,Convex-Bellshaped,Smooth
P,Brown,Convex-Conical,Silky
I,Brown,Conical-Bellshaped,Smooth
P,Dark-Brown,Convex-Knobbed,Smooth
P,Yellow,Convex,Smooth
P,Dark-Gray,Convex-Knobbed,Hairy-Fibrous
E,Yellow,Convex,Smooth
I,Brown,Convex-Knobbed,Hairy-Fibrous
P,Brown,Knobbed,Smooth
P,Brown-Orange,Convex-Flat,Smooth
P,Yellow-Orange,Convex,Smooth
P,Brown,Convex-Flat,Smooth
E,Violet,Convex,Smooth
P,Brown,Convex-Bellshaped,Smooth-Silky
E,Brown-Purple,Convex,Fibrous
P,Brown,Convex-Knobbed,Smooth
E,Pink,Convex-Flat,Smooth
I,Blue-Violet,Convex-Flat,Smooth
P,Red,Convex,Fibrous-Silky
P,Brown,Convex-Knobbed,Smooth-Fibrous
P,Brown,Convex-Knobbed,Silky
P,Violet,Convex,Smooth
P,Brown-Lilac,Convex-Bellshaped,Fibrous-Silky
P,Lilac-Purple,Convex,Smooth-Silky
E,Yellow,Convex,Smooth-Fibrous
P,Brown,Convex-Bellshaped,Smooth
I,Orange,Conical-Convex,Smooth
E,Yellow,Convex-Depressed,Smooth
P,Violet,Convex,RaisedScales
E,Dark,Funnelshaped,Smooth
E,Brown-Yellow,Chanterelles-Funnelshaped,Fibrous
P,White,Shellshaped,Smooth-Silky
P,White,Shellshaped,Hairy-Fibrous
P,White,Shellshaped,Smooth-Fibrous
P,White-Pale,Shellshaped,Hairy
P,Brown,CupFungi, 
P,Pale,JellyFungi,Smooth
P,Brown,Convex-JellyFungi,Smooth
E,Orange,Convex-Flat,Smooth-Fibrous
E,White,Convex-Depressed,Smooth
E,Brown,Convex-Bolete,Smooth
P,Gray-Brown,CupFungi, 
P,Dark-Brown,CupFungi,Hairy
P,Brown-Gray,CupFungi, 
E,Pale-Brown,Convex-Flat,Smooth
E,Brown-Dark,Convex,Smooth
I,Brown-Yellow,Conical-Bellshaped,Patches
P,Brown,Convex,Powder
P,Brown,Convex-Flat,RaisedScales
I,Orange,Convex-Bellshaped,RaisedScales
I,White,Convex-Knobbed,Fibrous-Silky
P,Yellow,JellyFungi,Smooth
E,Orange,JellyFungi,Smooth
P,Orange,JellyFungi,Smooth
I,Brown,Polypore-Shellshaped,Smooth
E,Brown,Polypore-Shellshaped,Smooth
P,Dark,Corticioid,Smooth
P,Brown,Convex,Smooth
P,Gray-Brown,Convex-Flat,Smooth
E,Brown,CupFungi,Smooth-Silky
E,Brown,CupFungi,Smooth
P,Brown,CupFungi, 
P,Brown-Pale,Convex-Flat,RaisedScales
P,Brown,Convex-Bellshaped,RaisedScales
I,Brown,Truffles,FlatScales
